"","V1","V2"
"","519.069","92325"
"","519.568","92326"
"","520.071","92325"
"","520.569","92322"
"","521.071","92325"
"","521.569","92321"
"","522.073","92325"
"","522.571","92322"
"","523.074","92324"
"","523.572","92323"
"","524.075","92321"
"","524.573","92319"
"","525.076","92329"
"","525.574","92320"
"","526.078","92324"
"","526.576","92320"
"","527.078","92324"
"","527.58","92322"
"","528.079","92321"
"","528.582","92323"
"","529.092","92318"
"","529.583","92324"
"","530.081","92331"
"","530.583","92324"
"","531.081","92321"
"","531.592","92326"
"","532.082","92322"
"","532.592","92323"
"","533.083","92324"
"","533.592","92324"
"","534.084","92319"
"","534.592","92322"
"","535.086","92319"
"","535.592","92325"
"","536.086","92330"
"","536.592","92319"
"","537.088","92318"
"","537.593","92325"
"","538.089","92328"
"","538.592","92332"
"","539.09","92327"
"","539.593","92325"
"","540.091","92324"
"","540.593","92321"
"","541.093","92322"
"","541.594","92324"
"","542.093","92325"
"","542.596","92317"
"","543.095","92323"
"","543.596","92317"
"","544.096","92322"
"","544.597","92321"
"","545.097","92328"
"","545.598","92325"
"","546.098","92328"
"","546.601","92321"
"","547.1","92316"
"","547.602","92308"
"","548.101","92329"
"","548.61","92324"
"","549.102","92331"
"","549.61","92312"
"","550.104","92318"
"","550.61","92324"
"","551.104","92328"
"","551.61","92327"
"","552.106","92330"
"","552.61","92328"
"","553.107","92324"
"","553.61","92321"
"","554.108","92317"
"","554.61","92329"
"","555.109","92321"
"","555.612","92328"
"","556.111","92318"
"","556.612","92323"
"","557.111","92330"
"","557.616","92331"
"","558.113","92325"
"","558.615","92318"
"","559.114","92321"
"","559.616","92325"
"","560.115","92315"
"","560.617","92328"
"","561.116","92325"
"","561.619","92327"
"","562.118","92325"
"","562.619","92330"
"","563.118","92328"
"","563.621","92331"
"","564.12","92326"
"","564.622","92323"
"","565.121","92323"
"","565.623","92324"
"","566.122","92334"
"","566.624","92328"
"","567.122","92332"
"","567.626","92330"
"","568.124","92334"
"","568.626","92334"
"","569.124","92329"
"","569.628","92330"
"","570.126","92328"
"","570.629","92330"
"","571.127","92331"
"","571.63","92334"
"","572.128","92320"
"","572.631","92323"
"","573.129","92322"
"","573.633","92330"
"","574.131","92326"
"","574.633","92324"
"","575.131","92327"
"","575.634","92327"
"","576.133","92328"
"","576.635","92332"
"","577.134","92326"
"","577.636","92331"
"","578.135","92332"
"","578.637","92331"
"","579.136","92332"
"","579.639","92334"
"","580.138","92328"
"","580.639","92328"
"","581.138","92334"
"","581.641","92327"
"","582.14","92326"
"","582.642","92327"
"","583.141","92336"
"","583.643","92329"
"","584.142","92327"
"","584.644","92333"
"","585.143","92327"
"","585.646","92319"
"","586.145","92322"
"","586.646","92323"
"","587.145","92329"
"","587.648","92331"
"","588.147","92326"
"","588.649","92329"
"","589.148","92323"
"","589.65","92321"
"","590.149","92331"
"","590.651","92329"
"","591.15","92325"
"","591.653","92321"
"","592.152","92322"
"","592.653","92327"
"","593.152","92327"
"","593.655","92332"
"","594.154","92329"
"","594.656","92329"
"","595.155","92326"
"","595.657","92322"
"","596.156","92323"
"","596.658","92322"
"","597.157","92321"
"","597.66","92324"
"","598.159","92319"
"","598.66","92318"
"","599.159","92326"
"","599.662","92324"
"","600.161","92326"
"","600.663","92328"
"","601.162","92328"
"","601.664","92332"
"","602.162","92321"
"","602.665","92316"
"","603.163","92321"
"","603.667","92325"
"","604.165","92328"
"","604.667","92328"
"","605.165","92326"
"","605.669","92322"
"","606.167","92321"
"","606.67","92315"
"","607.168","92320"
"","607.671","92321"
"","608.169","92331"
"","608.672","92328"
"","609.17","92329"
"","609.674","92324"
"","610.172","92322"
"","610.674","92317"
"","611.172","92318"
"","611.674","92322"
"","612.173","92319"
"","612.676","92320"
"","613.175","92321"
"","613.676","92322"
"","614.175","92325"
"","614.678","92314"
"","615.177","92318"
"","615.679","92322"
"","616.178","92323"
"","616.68","92321"
"","617.179","92323"
"","617.681","92328"
"","618.18","92329"
"","618.683","92328"
"","619.182","92332"
"","619.683","92322"
"","620.182","92331"
"","620.685","92326"
"","621.184","92329"
"","621.686","92319"
"","622.185","92316"
"","622.687","92318"
"","623.186","92323"
"","623.688","92322"
"","624.187","92329"
"","624.689","92326"
"","625.188","92321"
"","625.69","92321"
"","626.189","92327"
"","626.692","92328"
"","627.191","92326"
"","627.693","92325"
"","628.192","92326"
"","628.694","92321"
"","629.193","92319"
"","629.695","92317"
"","630.194","92323"
"","630.697","92325"
"","631.196","92326"
"","631.697","92327"
"","632.196","92331"
"","632.699","92324"
"","633.198","92326"
"","633.7","92317"
